Identification	Name	Type	Temperature	Risk	Source
CIP_100004	Humihabitans_oryzae	Bacteria	37	2	Human,_blood
CIP_100005	Achromobacter_xylosoxidans_xylosoxidans	Bacteria	30	1	Human,_blood
CIP_100006	Campylobacter_fetus_fetus	Bacteria	37	2	Human,_blood
CIP_100007	Achromobacter_xylosoxidans_denitrificans	Bacteria	30	1	
CIP_100008	Cupriavidus_pauculus	Bacteria	30	1	
CIP_100009	Achromobacter_insulatus	Bacteria	30	1	
CIP_100010	Achromobacter_xylosoxidans_denitrificans	Bacteria	30	1	
CIP_100011	Achromobacter_xylosoxidans_denitrificans	Bacteria	30	1	
CIP_100012	Achromobacter_xylosoxidans_denitrificans	Bacteria	30	1	
CIP_100013	Achromobacter_xylosoxidans_denitrificans	Bacteria	30	1	
CIP_100014	Achromobacter_xylosoxidans_denitrificans	Bacteria	30	1	
CIP_100015	Achromobacter_xylosoxidans_denitrificans	Bacteria	30	1	
CIP_100016	Achromobacter_xylosoxidans_denitrificans	Bacteria	30	1	
CIP_100017	Achromobacter_xylosoxidans_denitrificans	Bacteria	30	1	
CIP_100018	Achromobacter_xylosoxidans_denitrificans	Bacteria	30	1	
CIP_100019	Achromobacter_sp.	Bacteria	30	1	
CIP_100020	Achromobacter_xylosoxidans_denitrificans	Bacteria	30	1	
CIP_100021	Eikenella_corrodens	Bacteria	37	2	Human,_sinus
CIP_100025	Moraxella_osloensis	Bacteria	30	1	Human,_blood
CIP_100026	Moraxella_osloensis	Bacteria	30	1	Human,_blood
CIP_100027	Pseudomonas_mendocina	Bacteria	30	1	Human,_conjunctiva
CIP_100029	Achromobacter_xylosoxidans_xylosoxidans	Bacteria	30	1	Human,_blood
CIP_100032	Haemophilus_influenzae_II	Bacteria	37	2	Human
CIP_100033	Haemophilus_influenzae_II	Bacteria	37	2	Human
CIP_100037	Moraxella_osloensis	Bacteria	30	1	Human,_blood
CIP_100041	Oligella_urethralis	Bacteria	30	1	Human,_ear
CIP_100062	Myroides_odoratimimus	Bacteria	30	1	Human
CIP_100068	Flavobacterium_johnsoniae	Bacteria	25	1	
CIP_100069T	Xanthomonas_campestris	Bacteria	25	1	Brassica_oleracea_var._gemmifera
CIP_100070	Morganella_morganii_morganii	Bacteria	30	2	Peritoneal_fluid
CIP_100082	Haemophilus_parahaemolyticus	Bacteria	37	2	
CIP_100088	Rhizobium_radiobacter	Bacteria	30	1	Human,_peritoneal_fluid
CIP_100100T	Listeria_seeligeri_1/2b	Bacteria	30	1	Soil
CIP_100113T	Neisseria_polysaccharea	Bacteria	30	1	Healthy_child,_throat
CIP_100127	Chryseobacterium_hominis	Bacteria	30	1	Human,_neck_abscess
CIP_100134	Eikenella_corrodens	Bacteria	37	2	
CIP_100139	Eikenella_corrodens	Bacteria	37	2	
CIP_100140	Achromobacter_xylosoxidans_denitrificans	Bacteria	30	1	Human,_peritoneal_lavage
CIP_100142	Achromobacter_xylosoxidans_denitrificans	Bacteria	30	1	Human,_blood
CIP_100149	Actinomyces_naeslundii	Bacteria	37	2	Human,_cholescystectomy
CIP_100151	Corynebacterium_jeikeium	Bacteria	30	2	
CIP_100155	Chryseobacterium_hominis	Bacteria	30	1	Human,_pus
CIP_100158	Erysipelothrix_rhusiopathiae	Bacteria	37	2	Blood
CIP_100160	Corynebacterium_striatum	Bacteria	30	2	Human
CIP_100161	Corynebacterium_diphtheriae	Bacteria	37	2	
CIP_100162	Corynebacterium_minutissimum	Bacteria	30	2	Human
CIP_100163	Corynebacterium_diphtheriae	Bacteria	37	2	Human,_throat
CIP_100166	Gemella_haemolysans	Bacteria	37	1	Human,_blood
CIP_100176	Corynebacterium_diphtheriae	Bacteria	37	2	Nose
CIP_100177	Corynebacterium_ulcerans	Bacteria	37	2	Human,_false_membrane
CIP_100185	Pseudomonas_stutzeri	Bacteria	30	1	Human,_leg_ulcer
CIP_100251	Corynebacterium_striatum	Bacteria	37	2	Human,_pus
CIP_100269	Chryseobacterium_indologenes	Bacteria	30	1	Human,_spinal_fluid
CIP_100275	Corynebacterium_diphtheriae	Bacteria	37	2	Human,_throat
CIP_100283	Arcanobacterium_haemolyticum	Bacteria	37	2	Human,_toe
CIP_100291	Actinomyces_odontolyticus	Bacteria	37	2	Human,_pleural_fluid
CIP_100294	Corynebacterium_diphtheriae	Bacteria	37	2	Human,_throat
CIP_100296	Haemophilus_ducreyi	Bacteria	30	2	Human,_chancroid
CIP_100297	Haemophilus_ducreyi	Bacteria	30	2	Human,_chancroid
CIP_100301	Gemella_haemolysans	Bacteria	37	1	Human,_blood
CIP_100313	Microbacterium_lacticum	Bacteria	30	1	Infant,_meconium
CIP_100322	Actinomyces_turicensis	Bacteria	37	2	Human,_vagina
CIP_100330T	Oerskovia_jenensis	Bacteria	30	1	Soil
CIP_100331T	Oerskovia_turbata	Bacteria	30	1	Soil
CIP_100344	Chryseobacterium_indologenes	Bacteria	30	1	Human,_trachea
CIP_100345	Actinomyces_neuii	Bacteria	37	2	Human,_vagina
CIP_100357	Propionibacterium_avidum	Bacteria	37	2	Human,_pus
CIP_100358	Propionibacterium_avidum	Bacteria	37	2	Human,_pus
CIP_100379	Chryseobacterium_hominis	Bacteria	30	1	Human,_blood
CIP_100410	Campylobacter_fetus_fetus	Bacteria	37	2	Human,_blood
CIP_100411	Campylobacter_fetus_fetus	Bacteria	37	2	Human
CIP_100430	Actinomyces_neuii_neuii	Bacteria	37	1	vagina
CIP_100432	Gemella_haemolysans	Bacteria	37	1	Human,_blood
CIP_100437	Eikenella_corrodens	Bacteria	37	2	
CIP_100438	Eikenella_corrodens	Bacteria	37	2	
CIP_100439	Eikenella_corrodens	Bacteria	37	2	
CIP_100478	Actinomyces_urogenitalis	Bacteria	37	2	Human,_vagina
CIP_100479	Arcanobacterium_haemolyticum	Bacteria	30	2	Human,_perianal_fistula
CIP_100481	Carnobacterium_maltaromaticum	Bacteria	30	1	Human,_blood
CIP_100493	Actinomyces_urogenitalis	Bacteria	37	2	Human,_vagina
CIP_100496	Haemophilus_haemolyticus	Bacteria	37	2	Conjunctiva
CIP_100529	Propionibacterium_avidum	Bacteria	37	2	Human,_abscess
CIP_100531	Chryseobacterium_gleum	Bacteria	30	1	Human,_skin
CIP_100538	Microbacterium_arborescens	Bacteria	30	1	
CIP_100540	Photobacterium_damselae_damselae	Bacteria	20	1	Turbot
CIP_100541T	Sphingobacterium_multivorum	Bacteria	30	1	Spleen
CIP_100542T	Sphingobacterium_spiritivorum	Bacteria	30	1	Intra_uterine_specimen
CIP_100546	Chryseobacterium_hominis	Bacteria	30	1	Human,_vagina
CIP_100550	Arcanobacterium_haemolyticum	Bacteria	30	2	Human,_foot_pus
CIP_100593	Arcanobacterium_haemolyticum	Bacteria	37	2	Human,_tonsil
CIP_100594	Actinomyces_naeslundii	Bacteria	37	2	Human,_vesicular_pus
CIP_100598	Acinetobacter_lwoffii	Bacteria	30	1	Human,_blood
CIP_100606	Haemophilus_influenzae_III	Bacteria	37	2	Human,_sputum
CIP_100607	Listeria_monocytogenes_1/2a	Bacteria	30	2	Human,_blood
CIP_100610	Pasteurella_multocida_multocida	Bacteria	37	2	Rabbit,_node
CIP_100611	Eikenella_corrodens	Bacteria	37	2	Human,_pleural_fluid
CIP_100613	Corynebacterium_amycolatum	Bacteria	37	2	Human,_blood
CIP_100617	Moraxella_nonliquefaciens	Bacteria	30	1	Human,_nasal_swab
CIP_100627	Sphingobacterium_multivorum	Bacteria	30	1	Human,_blood
CIP_100629	Corynebacterium_diphtheriae	Bacteria	37	2	Human,_blood
CIP_100630	Pasteurella_pneumotropica	Bacteria	37	2	Mouse,_conjunctiva
CIP_100631	Escherichia_coli	Bacteria	30	2	
CIP_100632	Bacillus_megaterium	Bacteria	30	1	
CIP_100633	Klebsiella_pneumoniae_pneumoniae	Bacteria	30	2	Urine
CIP_100644	Microbacterium_imperiale	Bacteria	30	1	Blood
CIP_100646	Microbacterium_imperiale	Bacteria	30	1	
CIP_100651	Clostridium_sporogenes	Bacteria	37	2	Cotton
CIP_100652T	Corynebacterium_minutissimum	Bacteria	37	2	Erythrasma
CIP_100653T	Corynebacterium_xerosis	Bacteria	30	2	Child,_ear_discharge
CIP_100654	Actinomyces_naeslundii	Bacteria	37	2	Human,_dental_plaque
CIP_100655	Actinomyces_viscosus	Bacteria	37	2	Human,_cervico-facial_actinomycosis
CIP_100656	Streptobacillus_moniliformis	Bacteria	37	2	Human_blood_after_rat_bite
CIP_100662	Microbacterium_lacticum	Bacteria	30	1	Human,_blood
CIP_100668	Propionibacterium_avidum	Bacteria	37	1	Human,_blood
CIP_100684	Arcanobacterium_haemolyticum	Bacteria	37	2	Human,_drain
CIP_100695	Actinobacillus_capsulatus	Bacteria	37	1	Human,_pus
CIP_100697	Achromobacter_xylosoxidans_xylosoxidans	Bacteria	30	1	Human
CIP_100701	Corynebacterium_minutissimum	Bacteria	37	2	Human,_blood
CIP_100709	Corynebacterium_minutissimum	Bacteria	37	2	Human,_urethra
CIP_100715	Corynebacterium_minutissimum	Bacteria	37	2	Human,_blood
CIP_100718	Corynebacterium_coyleae	Bacteria	37	2	Human,_biopsy
CIP_100720T	Pseudomonas_aeruginosa	Bacteria	30	2	
CIP_100721T	Corynebacterium_diphtheriae	Bacteria	37	2	
CIP_100724	Chryseobacterium_hominis	Bacteria	30	1	Human,_blood
CIP_100725	Oligella_urethralis	Bacteria	30	1	Human,_blood
CIP_100737	Microbacterium_lacticum	Bacteria	30	1	Human,_blood
CIP_100750	Enterococcus_faecalis	Bacteria	37	2	
CIP_100751T	Raoultella_planticola	Bacteria	30	2	Radish_root
CIP_100752T	Sphingomonas_paucimobilis	Bacteria	30	1	Hospital_respirator
CIP_100753T	Tsukamurella_paurometabola	Bacteria	30	1	
CIP_100754	Macrococcus_caseolyticus	Bacteria	37	1	
CIP_100761	Chryseobacterium_indologenes	Bacteria	30	1	Human
CIP_100825	Propionibacterium_avidum	Bacteria	37	1	Human,_pus
CIP_100836	Corynebacterium_amycolatum	Bacteria	37	2	Amniotic_fluid
CIP_100844	Chryseobacterium_gleum	Bacteria	30	1	Human,_blood
CIP_100846	Macrococcus_caseolyticus	Bacteria	37	1	
CIP_100847T	Gordonia_bronchialis	Bacteria	30	1	Sputum
CIP_100848	Gordonia_rubropertincta	Bacteria	30	1	Soil
CIP_100849T	Gordonia_sputi	Bacteria	30	1	Sputum
CIP_100867	Eikenella_corrodens	Bacteria	37	2	
CIP_100869	Kingella_denitrificans	Bacteria	30	1	Human,_sputum
CIP_100870	Aggregatibacter_segnis	Bacteria	37	2	Human,_abscess
CIP_100873	Corynebacterium_urealyticum	Bacteria	37	2	Human,_urine
CIP_100890	Arcanobacterium_haemolyticum	Bacteria	37	2	Human,_wound
CIP_100897	Capnocytophaga_ochracea	Bacteria	37	1	
CIP_100915	Leuconostoc_lactis	Bacteria	25	1	Human,_blood
CIP_100916T	Actinobacillus_pleuropneumoniae	Bacteria	37	1	Porcin,_lung
CIP_100918T	Haemophilus_parasuis	Bacteria	37	2	
CIP_100919T	Avibacterium_avium	Bacteria	37	2	Chick,_infraorbital_sinus
CIP_100922	Staphylococcus_aureus_aureus	Bacteria	30	2	Urine
CIP_100923	Haemophilus_influenzae_III	Bacteria	37	2	
CIP_100926	Corynebacterium_striatum	Bacteria	37	1	Human,_bone_transplantation
CIP_100931T	Flavobacterium_johnsoniae	Bacteria	25	1	
CIP_100934T	Microbacterium_laevaniformans	Bacteria	30	1	Activated_sludge
CIP_100935T	Sphingobacterium_thalpophilum	Bacteria	30	1	Human,_wound
CIP_100936	Sphingobacterium_thalpophilum	Bacteria	30	1	Abscess
CIP_100987	Unnamed_bacterium	Bacteria	37	1	
CIP_100992	Chryseobacterium_indologenes	Bacteria	30	1	Human,_spinal_fluid
CIP_100999	Microbacterium_lacticum	Bacteria	30	1	Filter
CIP_101002	Haemophilus_influenzae_III	Bacteria	37	2	Human
CIP_101026T	Chryseobacterium_indologenes	Bacteria	30	1	Human,_trachea_at_autopsy
CIP_101027T	Lactobacillus_delbrueckii_bulgaricus	Bacteria	37	1	Bulgarian_yogurt
CIP_101028T	Lactobacillus_delbrueckii_lactis	Bacteria	37	1	Cheese,_Emmental_Swiss
CIP_101029T	Carnobacterium_divergens	Bacteria	30	1	Vacuum_packaged_minced_beef
CIP_101030	Haemophilus_ducreyi	Bacteria	30	2	Human,_chancroid
CIP_101031T	Brevundimonas_bacteroides	Bacteria	30	1	Fresh_water_lake
CIP_101032	Aggregatibacter_actinomycetemcomitans	Bacteria	37	2	Mandibular_abscess
CIP_101033	Aggregatibacter_actinomycetemcomitans	Bacteria	37	2	Human,_blood
CIP_101034T	Pseudomonas_alcaligenes	Bacteria	30	1	Swimming-pool_water
CIP_101035T	Brevundimonas_vesicularis	Bacteria	25	1	Leech,_urinary-bladder_epithelium
CIP_101038	Haemophilus_influenzae_IV	Bacteria	37	2	Human
CIP_101043	Haemophilus_ducreyi	Bacteria	30	2	Human,_chancroid
CIP_101047	Aliivibrio_fischeri	Bacteria	25	2	
CIP_101048	Bacillus_megaterium	Bacteria	30	1	
CIP_101049T	Methylobacterium_organophilum	Bacteria	25	1	Sediment
CIP_101062T	Paenibacillus_faecis	Bacteria	30	1	Human,_feces
CIP_101063	Cellulosimicrobium_cellulans	Bacteria	30	1	Human,_blood
CIP_101064	Actinobacillus_capsulatus	Bacteria	37	1	Human,_rabbit_bite
CIP_101065	Haemophilus_parainfluenzae_III	Bacteria	37	2	Mouth_lesion
CIP_101066	Eikenella_corrodens	Bacteria	37	2	Human,_pus
CIP_101068	Vibrio_alginolyticus	Bacteria	25	2	Child,_ear_pus
CIP_101069	Haemophilus_parainfluenzae	Bacteria	37	2	Human,_urine
CIP_101080	Cupriavidus_pauculus	Bacteria	30	1	Human,_blood
CIP_101083	Haemophilus_influenzae_I	Bacteria	37	2	Human,_spinal_fluid
CIP_101087	Propionibacterium_avidum	Bacteria	37	1	
CIP_101091	Rhizobium_radiobacter	Bacteria	30	1	Human,_blood
CIP_101092	Pseudomonas_stutzeri	Bacteria	30	1	Human
CIP_101097	Microbacterium_lacticum	Bacteria	30	1	Milk
CIP_101107	Aggregatibacter_actinomycetemcomitans	Bacteria	37	2	Human,_blood
CIP_101108	Unnamed_bacterium	Bacteria	37	1	Human,_blood
CIP_101109	Aggregatibacter_aphrophilus	Bacteria	37	2	Human,_sinus
CIP_101110	Pasteurella_bettyae	Bacteria	37	2	Human,_urethral_swab
CIP_101111	Turicella_otitidis	Bacteria	37	2	Human,_pus
CIP_101112	Microbacterium_laevaniformans	Bacteria	30	1	Human,_pus
CIP_101113	Myroides_odoratimimus	Bacteria	30	1	Human,_leg_slough
CIP_101114	Klebsiella_pneumoniae_pneumoniae	Bacteria	30	2	
CIP_101115	Actinomyces_naeslundii	Bacteria	37	2	Human,_conjunctivitis
CIP_101116	Corynebacterium_glucuronolyticum	Bacteria	37	2	Human,_balanitis
CIP_101117	Corynebacterium_glucuronolyticum	Bacteria	37	2	Human,_urethral_swab
CIP_101120	Pseudomonas_stutzeri	Bacteria	30	1	Human,_sputum
CIP_101122T	Flavobacterium_mizutaii	Bacteria	25	1	Fetus,_ventricular_fluid
CIP_101123	Caulobacter_vibrioides	Bacteria	30	1	Tap_water
CIP_101124T	Actinomyces_odontolyticus	Bacteria	37	2	Human,_deep_carious_lesions
CIP_101125T	Brevibacterium_linens	Bacteria	30	1	Cheese,_Harzerkase
CIP_101126T	Gemella_haemolysans	Bacteria	37	1	
CIP_101127T	Methylobacterium_rhodinum	Bacteria	25	1	Alnus_rhizosphere
CIP_101129T	Methylobacterium_mesophilicum	Bacteria	25	1	Perennial_rye_grass
CIP_101130T	Fusobacterium_nucleatum_nucleatum	Bacteria	37	1	Cervico-facial_lesion
CIP_101131	Moraxella_osloensis	Bacteria	30	1	Human,_vagina
CIP_101135	Weissella_viridescens	Bacteria	30	1	Blood
CIP_101158	Cronobacter_sakazakii	Bacteria	37	2	Infant,_anus
CIP_101166	Chryseobacterium_indologenes	Bacteria	30	1	Human,_urine
CIP_101171	Haemophilus_influenzae_III	Bacteria	37	2	Human
CIP_101175	Bacillus_safensis	Bacteria	37	2	Human,_blood
CIP_101177	Microbacterium_imperiale	Bacteria	30	1	
CIP_101181	Shewanella_algae	Bacteria	25	1	Blood
CIP_101188	Microbacterium_imperiale	Bacteria	30	1	Human,_blood
CIP_101190	Cellulosimicrobium_cellulans	Bacteria	30	1	
CIP_101191	Cellulosimicrobium_cellulans	Bacteria	30	1	
CIP_101195	Pasteurella_pneumotropica	Bacteria	37	2	Mouse,_conjunctival_swab
CIP_101215	Gemella_haemolysans	Bacteria	37	1	Child,_spinal_fluid
CIP_101223	Achromobacter_piechaudii	Bacteria	37	1	
CIP_101224	Achromobacter_piechaudii	Bacteria	30	1	
CIP_101226	Terribacillus_saccharophilus	Bacteria	30	1	Human,_blood
CIP_101227	Exiguobacterium_acetylicum	Bacteria	30	1	Human,_spinal_fluid
CIP_101230	Trueperella_bernardiae	Bacteria	37	2	Human,_pus
CIP_101231	Arcanobacterium_haemolyticum	Bacteria	30	2	Human,_pustule
CIP_101236	Leuconostoc_pseudomesenteroides	Bacteria	30	1	
CIP_101238	Leuconostoc_lactis	Bacteria	25	1	
CIP_101240	Leuconostoc_lactis	Bacteria	25	1	
CIP_101246	Brochothrix_thermosphacta	Bacteria	22	1	Human,_pleural_pus
CIP_101249	Corynebacterium_diphtheriae	Bacteria	37	2	Human,_throat
CIP_101256	Haemophilus_aegyptius	Bacteria	37	2	Human,_conjunctiva
CIP_101260	Helicobacter_pylori	Bacteria	37	2	Gastric_antrum_biopsy
CIP_101262	Haemophilus_parainfluenzae_II	Bacteria	37	2	Saliva
CIP_101263	Haemophilus_parahaemolyticus	Bacteria	37	2	Throat
CIP_101264T	Lactobacillus_agilis	Bacteria	37	1	Municipal_sewage
CIP_101265	Flavobacterium_johnsoniae	Bacteria	15	1	Root_surface_of_pasture_grass
CIP_101266T	Lactobacillus_sharpeae	Bacteria	30	1	Municipal_sewage
CIP_101268	Leuconostoc_lactis	Bacteria	25	1	
CIP_101280	Corynebacterium_diphtheriae	Bacteria	37	2	Human,_sputum
CIP_101281	Haemophilus_ducreyi	Bacteria	30	2	
CIP_101282	Corynebacterium_stationis	Bacteria	30	1	Film_of_marine_fouling_organisms
CIP_101283T	Corynebacterium_ammoniagenes	Bacteria	37	2	Infant,_stool
CIP_101285	Oligella_urethralis	Bacteria	30	1	Human,_blood
CIP_101299	Neisseria_elongata_elongata	Bacteria	30	1	Human,_appendix
CIP_101303T	Microbacterium_binotii	Bacteria	37	1	Human,_blood
CIP_101307	Microbacterium_arborescens	Bacteria	30	1	Blood
CIP_101308	Microbacterium_lacticum	Bacteria	30	1	Human,_blood
CIP_101317	Corynebacterium_diphtheriae	Bacteria	37	2	Human,_throat
CIP_101336	Actinomyces_odontolyticus	Bacteria	37	2	Human,_pleural_puncture
CIP_101342	Carnobacterium_maltaromaticum	Bacteria	30	1	Human,_blood
CIP_101348	Carnobacterium_divergens	Bacteria	30	1	Hare
CIP_101352	Corynebacterium_diphtheriae	Bacteria	37	2	Human,_foot_pus
CIP_101354	Carnobacterium_maltaromaticum	Bacteria	30	1	Deer
CIP_101371	Actinobacillus_suis	Bacteria	37	1	Piglet,_liver
CIP_101375	Actinobacillus_capsulatus	Bacteria	37	1	Rabbit,_lung
CIP_101407	Arcanobacterium_haemolyticum	Bacteria	37	2	Human,_ankle_ulcer
CIP_101418	Propionibacterium_avidum	Bacteria	37	1	
CIP_101434	Corynebacterium_diphtheriae	Bacteria	37	2	Human,_pharynx
CIP_101435	Gemella_haemolysans	Bacteria	37	1	Human,_blood
CIP_101444	Corynebacterium_macginleyi	Bacteria	37	2	
CIP_101446	Corynebacterium_macginleyi	Bacteria	37	2	
CIP_101447	Propionibacterium_avidum	Bacteria	37	1	Human,_blood
CIP_101462	Propionibacterium_avidum	Bacteria	37	1	Human,_abscess
CIP_101463	Corynebacterium_macginleyi	Bacteria	37	2	Human,_conjunctiva
CIP_101477	Corynebacterium_amycolatum	Bacteria	37	2	Human,_pus
CIP_101478	Aggregatibacter_actinomycetemcomitans	Bacteria	37	2	Human,_blood
CIP_101480	Aggregatibacter_aphrophilus	Bacteria	37	2	Human,_conjunctiva
CIP_101482	Actinomyces_odontolyticus	Bacteria	37	2	Human,_sputum
CIP_101488	Aggregatibacter_aphrophilus	Bacteria	37	2	Human,_pleural_fluid
CIP_101489	Corynebacterium_amycolatum	Bacteria	37	2	Human,_skin
CIP_101490	Lactobacillus_acidophilus	Bacteria	37	1	Human,_urine
CIP_101499	Propionibacterium_avidum	Bacteria	37	1	Human
CIP_101501	Lactobacillus_rhamnosus	Bacteria	37	1	Human,_lung
CIP_101510	Corynebacterium_diphtheriae	Bacteria	37	2	Human,_throat
CIP_101511	Propionibacterium_propionicum	Bacteria	37	2	Human,_gingiva
CIP_101530	Arcanobacterium_haemolyticum	Bacteria	30	2	Human,_throat
CIP_101568	Corynebacterium_diphtheriae	Bacteria	37	2	Human,_sputum
CIP_101583	Microbacterium_imperiale	Bacteria	30	1	Vagina
CIP_101598	Corynebacterium_pseudodiphtheriticum	Bacteria	30	2	Sputum
CIP_101605	Moraxella_osloensis	Bacteria	30	1	Human,_hip
CIP_101606	Propionibacterium_avidum	Bacteria	37	1	Human,_abscess
CIP_101608	Unnamed_bacterium	Bacteria	37	1	Human,_vertebra
CIP_101612	Weissella_paramesenteroides	Bacteria	25	1	Blood
CIP_101617	Corynebacterium_minutissimum	Bacteria	30	2	Carcinous_nodule
CIP_101620	Actinomyces_turicensis	Bacteria	37	2	Human,_pilonidal_cyst
CIP_101630	Corynebacterium_diphtheriae	Bacteria	37	2	Human,_pus
CIP_101651	Dermabacter_hominis	Bacteria	30	1	Child,_blood
CIP_101673	Aggregatibacter_actinomycetemcomitans	Bacteria	37	2	Blood
CIP_101693	Actinomyces_naeslundii	Bacteria	37	2	Human,_throat
CIP_101698	Corynebacterium_urealyticum	Bacteria	37	2	Human,_vesical_calculus
CIP_101701	Haemophilus_parainfluenzae	Bacteria	37	2	Urethral_swab
CIP_101708	Alloscardovia_omnicolens	Bacteria	37	1	Human,_vagina
CIP_101711	Actinomyces_turicensis	Bacteria	37	2	Human,_urine
CIP_101713	Haemophilus_influenzae_II	Bacteria	37	2	Human,_ocular_swab
CIP_101714	Campylobacter_fetus_fetus	Bacteria	37	2	Human
CIP_101715	Campylobacter_jejuni_jejuni	Bacteria	37	2	Human,_feces
CIP_101716	Pasteurella_multocida_multocida	Bacteria	37	2	Human,_spinal_fluid
CIP_101717	Haemophilus_parainfluenzae_I	Bacteria	37	2	Human,_urethral_swab
CIP_101718	Acinetobacter_lwoffii	Bacteria	30	1	Human,_urine
CIP_101719	Achromobacter_xylosoxidans_xylosoxidans	Bacteria	30	1	Human,_blood
CIP_101720	Propionibacterium_avidum	Bacteria	37	1	Human,_skin
CIP_101722	Kingella_kingae	Bacteria	30	1	Human,_blood
CIP_101723	Turicella_otitidis	Bacteria	37	2	Child,_ear
CIP_101726	Corynebacterium_amycolatum	Bacteria	37	2	Human,_blood
CIP_101727	Corynebacterium_glucuronolyticum	Bacteria	37	2	Human,_urethral_swab
CIP_101732	Bacillus_maroccanus	Bacteria	30	1	Egyptian_Mummy
CIP_101742	Empedobacter_brevis	Bacteria	30	1	Human,_eye_swab
CIP_101756	Actinobacillus_ureae	Bacteria	37	1	Child,_urine
CIP_101767	Corynebacterium_minutissimum	Bacteria	30	2	Human,_ear_pus
CIP_101768	Rhizobium_radiobacter	Bacteria	30	1	Human,_blood
CIP_101772	Lactobacillus_agilis	Bacteria	37	1	Guinea-fowl,_lung
CIP_101775	Corynebacterium_tuberculostearicum	Bacteria	37	2	Human,_node
CIP_101776	Yersinia_enterocolitica_enterocolitica_O:3	Bacteria	30	2	Human,_blood
CIP_101778	Moraxella_osloensis	Bacteria	30	1	Human,_blood
CIP_101781	Corynebacterium_accolens	Bacteria	37	2	
CIP_101785	Lactobacillus_plantarum_plantarum	Bacteria	37	1	Vagina
CIP_101792	Lactobacillus_jensenii	Bacteria	30	1	Human,_placenta
CIP_101794	Pseudomonas_putida	Bacteria	30	1	Human,_urine
CIP_101796	Aggregatibacter_aphrophilus	Bacteria	37	2	Human
CIP_101802	Corynebacterium_diphtheriae	Bacteria	37	2	Human,_pus
CIP_101808	Actinobacillus_ureae	Bacteria	37	1	Human,_sputum
CIP_101809	Exiguobacterium_acetylicum	Bacteria	30	1	Human,_blood
CIP_101810	Lactobacillus_delbrueckii_lactis	Bacteria	37	1	
CIP_101811	Campylobacter_fetus_fetus	Bacteria	37	2	Human,_blood
CIP_101812	Corynebacterium_minutissimum	Bacteria	37	2	Human,_heel
CIP_101815	Gardnerella_vaginalis	Bacteria	37	2	Human,_sperm
CIP_101816	Actinomyces_turicensis	Bacteria	37	2	Human,_pus
CIP_101817	Actinomyces_neuii_neuii	Bacteria	37	1	abces
CIP_101821	Listeria_monocytogenes_4b	Bacteria	30	2	Human,_urine
CIP_101825	Bacillus_licheniformis	Bacteria	30	1	Human,_vesicular_fluid
CIP_101831	Corynebacterium_coyleae	Bacteria	37	2	Human,_blood
CIP_101832	Corynebacterium_simulans	Bacteria	37	2	Human,_node
CIP_101838	Escherichia_coli	Bacteria	37	2	Human,_urine
CIP_101839	Carnobacterium_gallinarum	Bacteria	22	1	Milk
CIP_101841	Corynebacterium_diphtheriae	Bacteria	37	2	Human,_pus
CIP_101847	Campylobacter_fetus_fetus	Bacteria	37	2	Human,_blood
CIP_101849	Rhodococcus_equi	Bacteria	30	2	Human,_lung_biopsy
CIP_101851	Unnamed_bacterium	Bacteria	30	1	Horse
CIP_101859	Vibrio_alginolyticus	Bacteria	25	2	Human,_ear_pus
CIP_101862	Actinomyces_odontolyticus	Bacteria	37	2	Human,_blood
CIP_101863	Actinomyces_naeslundii	Bacteria	37	2	Human,_blood
CIP_101864	Actinomyces_naeslundii	Bacteria	37	2	Human,_vesicular_fluid
CIP_101869	Pasteurella_multocida_gallicida	Bacteria	37	2	Sputum
CIP_101873	Corynebacterium_ammoniagenes	Bacteria	37	2	Rat
CIP_101874	Serratia_fonticola	Bacteria	30	1	Soil
CIP_101877	Microbacterium_oxydans	Bacteria	30	1	
CIP_101878	Leuconostoc_lactis	Bacteria	25	1	
CIP_101879	Rhodococcus_erythropolis	Bacteria	30	1	Soil
CIP_101880	Bacillus_firmus	Bacteria	30	1	Human,_blood
CIP_101883	Corynebacterium_amycolatum	Bacteria	37	2	
CIP_101886T	Grimontia_hollisae	Bacteria	30	2	Human,_feces
CIP_101887T	Lactobacillus_reuteri	Bacteria	37	1	Human,_feces
CIP_101888T	Vibrio_mimicus	Bacteria	25	2	Human,_ear
CIP_101889	Streptococcus_uberis	Bacteria	37	2	
CIP_101897	Clostridium_tertium	Bacteria	37	2	Human,_abdomen
CIP_101900	Caulobacter_vibrioides	Bacteria	30	1	
CIP_101902	Achromobacter_xylosoxidans_xylosoxidans	Bacteria	30	1	Human,_pleural_fluid
CIP_101903	Gardnerella_vaginalis	Bacteria	37	2	Human,_vagina
CIP_101906	Haemophilus_influenzae_III	Bacteria	37	2	Human,_blood
CIP_101907	Aggregatibacter_aphrophilus	Bacteria	37	2	Human,_pleural_fluid
CIP_101909	Lactobacillus_gasseri	Bacteria	37	1	
CIP_101912	Unnamed_bacterium	Bacteria	37	1	Human,_blood
CIP_101914	Moraxella_osloensis	Bacteria	30	1	Human,_vagina
CIP_101916	Unnamed_bacterium	Bacteria	30	1	Human,_wound_after_dog_bite
CIP_101917	Delftia_acidovorans	Bacteria	30	1	Human
CIP_101918	Aggregatibacter_aphrophilus	Bacteria	37	2	Human,_blood
