NCTC_9808	anaerobic_cocci				
NCTC_9807	anaerobic_cocci				
NCTC_9806	anaerobic_cocci				
NCTC_9805	anaerobic_cocci				
NCTC_9804	anaerobic_cocci				
NCTC_9803	anaerobic_cocci				
NCTC_9801	anaerobic_cocci				
NCTC_9800	Clostridium_scatologenes				
NCTC_9799	salmonella_enterica_subsp._salamae				
NCTC_9798	salmonella_enterica_subsp._enterica				
NCTC_9796	Janthinobacterium_lividum				
NCTC_9795	Salmonella_				
NCTC_9794	salmonella_enterica_subsp._enterica				
NCTC_9793	klebsiella_aerogenes				
NCTC_9792	Salmonella_				
NCTC_9791	salmonella_enterica_subsp._enterica				
NCTC_9790	Salmonella_				
NCTC_9789	Staphylococcus_aureus				
NCTC_9787	salmonella_enterica_subsp._enterica				
NCTC_9786	salmonella_enterica_subsp._enterica				
NCTC_9785	Enterobacter_cloacae				
NCTC_9784	Shigella_boydii				
NCTC_9783	Shigella_flexneri				
NCTC_9782	Shigella_flexneri				
NCTC_9781	Shigella_flexneri				
NCTC_9780	Shigella_flexneri				
NCTC_9779	Shigella_flexneri				
NCTC_9778	escherichia_alkalescens				
NCTC_9777	escherichia_alkalescens				
NCTC_9776	escherichia_alkalescens				
NCTC_9775	escherichia_alkalescens				
NCTC_9774	Shigella_sonnei				
NCTC_9773	Shigella_sonnei				
NCTC_9772	Shigella_boydii				
NCTC_9771	Shigella_boydii				
NCTC_9770	Shigella_boydii				
NCTC_9769	Shigella_flexneri				
NCTC_9766	Shigella_boydii				
NCTC_9765	Shigella_boydii				
NCTC_9764	Shigella_dysenteriae				
NCTC_9763	Shigella_dysenteriae				
NCTC_9762	Shigella_dysenteriae				
NCTC_9761	Shigella_dysenteriae				
NCTC_9760	Shigella_dysenteriae				
NCTC_9759	Shigella_dysenteriae				
NCTC_9757	Chromobacterium_violaceum				
NCTC_9755	Corynebacterium_striatum				
NCTC_9754	Staphylococcus_aureus				
NCTC_9752	Staphylococcus_aureus				
NCTC_9750	Citrobacter_freundii				
NCTC_9748	Clostridium_novyi				
NCTC_9747	Clostridium_novyi				
NCTC_9746	Clostridium_novyi				
NCTC_9745	salmonella_enterica_subsp._salamae				
NCTC_9744	aeromonas_liquefaciens				
NCTC_9743	Serratia_marcescens				
NCTC_9742	Brevibacterium_iodinum				
NCTC_9741	Serratia_marcescens				
NCTC_9737	Kluyvera_ascorbata				
NCTC_9736	Enterobacter_cloacae				
NCTC_9735	Enterobacter_aerogenes				
NCTC_9734	Shigella_boydii				
NCTC_9733	Shigella_boydii				
NCTC_9732	Shigella_boydii				
NCTC_9731	Shigella_boydii				
NCTC_9730	Shigella_flexneri				
NCTC_9729	Shigella_flexneri				
NCTC_9728	Shigella_flexneri				
NCTC_9727	Shigella_flexneri				
NCTC_9726	Shigella_flexneri				
NCTC_9725	Shigella_flexneri				
NCTC_9724	Shigella_flexneri				
NCTC_9723	Shigella_flexneri				
NCTC_9722	Shigella_flexneri				
NCTC_9721	Shigella_dysenteriae				
NCTC_9720	Shigella_dysenteriae				
NCTC_9719	Shigella_dysenteriae				
NCTC_9718	Shigella_dysenteriae				
NCTC_9717	Staphylococcus_aureus				
NCTC_9715	Staphylococcus_aureus				
NCTC_9714	Neisseria_meningitidis				
NCTC_9713	Neisseria_meningitidis				
NCTC_9712	Mannheimia_haemolytica				
NCTC_9711	Enterobacter_cloacae				
NCTC_9710	Aggregatibacter_actinomycetemcomitans				
NCTC_9709	Aggregatibacter_actinomycetemcomitans				
NCTC_9708	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9707	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9706	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9705	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9704	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9703	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9702	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9701	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9699	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9697	Arcanobacterium_haemolyticum				
NCTC_9696	Chromobacterium_violaceum				
NCTC_9695	Chromobacterium_violaceum				
NCTC_9694	Chromobacterium_violaceum				
NCTC_9693	Clostridium_haemolyticum				
NCTC_9692	Clostridium_haemolyticum				
NCTC_9691	Clostridium_novyi				
NCTC_9686	salmonella_enterica_subsp._enterica				
NCTC_9685	salmonella_enterica_subsp._enterica				
NCTC_9684	salmonella_enterica_subsp._enterica				
NCTC_9683	salmonella_enterica_subsp._enterica				
NCTC_9682	Streptococcus_equi_subsp._equi				
