DSM_No	Name	Recommended_T_(C)	Domain
19999	Acidisoma_tundrae	20	Bacteria
16009	Acidisphaera_rubrifaciens	30	Bacteria
45281	Aciditerrimonas_ferrireducens	50	Bacteria
14366	Acidithiobacillus_albertensis	30	Bacteria
8584	Acidithiobacillus_caldus	45	Bacteria
9466	Acidithiobacillus_caldus	37	Bacteria
29468	Acidithiobacillus_ferridurans	30	Bacteria
22755	Acidithiobacillus_ferrivorans	30	Bacteria
17398	Acidithiobacillus_ferrivorans	25	Bacteria
583	Acidithiobacillus_ferrooxidans	30	Bacteria
584	Acidithiobacillus_ferrooxidans	30	Bacteria
585	Acidithiobacillus_ferrooxidans	30	Bacteria
1927	Acidithiobacillus_ferrooxidans	30	Bacteria
11477	Acidithiobacillus_ferrooxidans	30	Bacteria
9464	Acidithiobacillus_ferrooxidans	28	Bacteria
9465	Acidithiobacillus_ferrooxidans	28	Bacteria
24419	Acidithiobacillus_ferrooxidans	28	Bacteria
14882	Acidithiobacillus_ferrooxidans	25	Bacteria
29444	Acidithiobacillus_ferrooxidans	25	Bacteria
24413	Acidithiobacillus_sp.	45	Bacteria
11478	Acidithiobacillus_thiooxidans	30	Bacteria
622	Acidithiobacillus_thiooxidans	28	Bacteria
9463	Acidithiobacillus_thiooxidans	28	Bacteria
504	Acidithiobacillus_thiooxidans	26	Bacteria
14887	Acidithiobacillus_thiooxidans	25	Bacteria
11244	Acidobacterium_capsulatum	30	Bacteria
22465	Acidobacterium_sp.	25	Bacteria
22488	Acidobacterium_sp.	25	Bacteria
22743	Acidobacterium_sp.	25	Bacteria
11237	Acidocella_aminolytica	37	Bacteria
27026	Acidocella_aromatica	30	Bacteria
5432	Acidomonas_methanolica	30	Bacteria
16745	Acidovorax_anthurii	28	Bacteria
7227	Acidovorax_avenae_subsp._avenae	25	Bacteria
19327	Acidovorax_caeni	28	Bacteria
17101	Acidovorax_cattleyae	28	Bacteria
17060	Acidovorax_citrulli	28	Bacteria
26939	Acidovorax_citrulli	28	Bacteria
26940	Acidovorax_citrulli	28	Bacteria
26975	Acidovorax_citrulli	28	Bacteria
12578	Acidovorax_defluvii	30	Bacteria
12644	Acidovorax_defluvii	30	Bacteria
64	Acidovorax_delafieldii	30	Bacteria
4762	Acidovorax_delafieldii	28	Bacteria
41	Acidovorax_facilis	30	Bacteria
550	Acidovorax_facilis	30	Bacteria
620	Acidovorax_facilis	30	Bacteria
649	Acidovorax_facilis	30	Bacteria
7481	Acidovorax_konjaci	28	Bacteria
23535	Acidovorax_radicis	30	Bacteria
25157	Acidovorax_soli	28	Bacteria
3314	Acidovorax_sp.	30	Bacteria
6434	Acidovorax_sp.	30	Bacteria
14692	Acidovorax_sp.	28	Bacteria
22895	Acidovorax_sp.	28	Bacteria
7270	Acidovorax_temperans	28	Bacteria
16619	Acidovorax_valerianellae	28	Bacteria
27981	Acidovorax_wautersii	28	Bacteria
19572	Aciduliprofundum_boonei	70	Archaea
24110	Acinetobacter_baumannii	37	Bacteria
30007	Acinetobacter_baumannii	30	Bacteria
30008	Acinetobacter_baumannii	30	Bacteria
30011	Acinetobacter_baumannii	30	Bacteria
14959	Acinetobacter_baylyi	30	Bacteria
14961	Acinetobacter_baylyi	30	Bacteria
14963	Acinetobacter_baylyi	30	Bacteria
24193	Acinetobacter_baylyi	30	Bacteria
22901	Acinetobacter_beijerinckii	28	Bacteria
25435	Acinetobacter_bereziniae	30	Bacteria
14964	Acinetobacter_bouvetii	30	Bacteria
18516	Acinetobacter_brisouii	28	Bacteria
1139	Acinetobacter_calcoaceticus	30	Bacteria
16962	Acinetobacter_calcoaceticus	30	Bacteria
30006	Acinetobacter_calcoaceticus	30	Bacteria
19654	Acinetobacter_calcoaceticus	28	Bacteria
9306	Acinetobacter_genomospecies_3	28	Bacteria
9307	Acinetobacter_genomospecies_3	28	Bacteria
9308	Acinetobacter_genomospecies_3	28	Bacteria
